"File","Dataset","Benchmark_Value","New_Value","Value_Diff_Pct","Benchmark_Time","New_Time","Time_Speedup","Benchmark_Mem","New_Mem","Mem_Reduction","Status"
"Aeroplane.wav","Acoustic_index_users_guide_example_recordings",152.873046875,152.873031616211,9.98134685898992e-06,0.127250909805298,0.124634981155396,1.02098871942413,176.4,66.9,62.0748299319728,"PASS"
"Ant_nest.wav","Acoustic_index_users_guide_example_recordings",168.558456420898,168.558456420898,2.52924504951271e-13,0.0864260196685791,0.0540990829467773,1.59755054912123,225.3,69.5,69.1522414558367,"PASS"
"Bees_and_waves.wav","Acoustic_index_users_guide_example_recordings",154.89567565918,154.895645141602,1.97020209297432e-05,0.0438470840454102,0.0247888565063477,1.76882237525488,212.3,53.3,74.8940178991992,"PASS"
"Boat_noise_underwater.wav","Acoustic_index_users_guide_example_recordings",158.018341064453,158.018295288086,2.8969021422103e-05,0.0476858615875244,0.0481030941009521,0.991326285320605,207.1,69.8,66.2964751327861,"PASS"
"Bush_crickets.wav","Acoustic_index_users_guide_example_recordings",163.312393188477,163.312408447266,9.34331335072921e-06,0.0757160186767578,0.04317307472229,1.7537786957218,226.4,67.1,70.3621908127209,"PASS"
"Carolina_Wren.wav","Acoustic_index_users_guide_example_recordings",154.174682617188,154.174682617188,3.31825408077888e-13,0.056502103805542,0.0337851047515869,1.67239688084401,214.6,58.8,72.6001863932898,"PASS"
"Chainsaw_loud.wav","Acoustic_index_users_guide_example_recordings",146.30207824707,146.30207824707,2.13694027781663e-13,0.0849001407623291,0.0438699722290039,1.93526771157149,214.5,69.8,67.4592074592074,"PASS"
"Chainsaw_quiet.wav","Acoustic_index_users_guide_example_recordings",153.16911315918,153.169097900391,9.96205374596718e-06,0.0810480117797852,0.0462920665740967,1.750797010759,229.1,69.8,69.5329550414666,"PASS"
"Cicadas.wav","Acoustic_index_users_guide_example_recordings",109.479705810547,109.479713439941,6.96877503174411e-06,0.0844988822937012,0.0417280197143555,2.02499142955091,226.4,67.1,70.3621908127209,"PASS"
"Combine_harvester.wav","Acoustic_index_users_guide_example_recordings",150.207641601562,150.207626342773,1.01584635696394e-05,0.0466699600219727,0.0440189838409424,1.06022347518537,222.9,67.1,69.8968147151189,"PASS"
"Crows_and_traffic.wav","Acoustic_index_users_guide_example_recordings",151.805206298828,151.805206298828,7.48899464606134e-14,0.0555670261383057,0.030383825302124,1.82883575671498,214.6,58.8,72.6001863932898,"PASS"
"Dense_oyster_bed.wav","Acoustic_index_users_guide_example_recordings",191.871536254883,191.871551513672,7.95260681254889e-06,0.0836880207061768,0.0435678958892822,1.9208644116955,214.5,69.8,67.4592074592074,"PASS"
"Diurnal_forest_Gabon.wav","Acoustic_index_users_guide_example_recordings",156.075241088867,156.075225830078,9.77655953442346e-06,0.0509669780731201,0.0434110164642334,1.17405631621439,226.4,67.1,70.3621908127209,"PASS"
"Diurnal_forest_New_Caledonia.wav","Acoustic_index_users_guide_example_recordings",151.009185791016,151.009262084961,5.05227179018117e-05,0.0830738544464111,0.0481021404266357,1.72703030903819,225.6,69.8,69.0602836879433,"PASS"
"Diurnal_forest_Okinawa.wav","Acoustic_index_users_guide_example_recordings",151.936233520508,151.936187744141,3.01286706441049e-05,0.0815610885620117,0.0411779880523682,1.9806962996416,226.4,67.1,70.3621908127209,"PASS"
"Diurnal_shrubland_1_New_Caledonia.wav","Acoustic_index_users_guide_example_recordings",151.372634887695,151.372604370117,2.01605645795903e-05,0.0793321132659912,0.0467259883880615,1.6978156268656,225.6,69.8,69.0602836879433,"PASS"
"Diurnal_shrubland_2_New_Caledonia.wav","Acoustic_index_users_guide_example_recordings",155.06103515625,155.06103515625,0,0.0801210403442383,0.0507609844207764,1.57839807991283,229.1,69.8,69.5329550414666,"PASS"
"Eurasian_wren.wav","Acoustic_index_users_guide_example_recordings",158.722518920898,158.72248840332,1.92269993609938e-05,0.0776669979095459,0.0522279739379883,1.48707660001826,226.5,67.1,70.3752759381898,"PASS"
"Evening_forest_Peru.wav","Acoustic_index_users_guide_example_recordings",153.863662719727,153.863662719727,2.77080133099809e-13,0.0606539249420166,0.0497488975524902,1.21920138789046,214.6,58.8,72.6001863932898,"PASS"
"Forest_soil.wav","Acoustic_index_users_guide_example_recordings",158.419128417969,158.419189453125,3.85276428444746e-05,0.0837619304656982,0.0414481163024902,2.02088630166929,211.8,67.1,68.3191690273843,"PASS"
"Frog_and_insect_chorus_Peru.wav","Acoustic_index_users_guide_example_recordings",150.518707275391,150.51872253418,1.01374699326245e-05,0.0525720119476318,0.0311470031738281,1.68786742192284,212.7,56.9,73.2487070992007,"PASS"
"Frog_chorus_Czechia.wav","Acoustic_index_users_guide_example_recordings",167.486755371094,167.486755371094,1.52725739003589e-13,0.0492298603057861,0.0390639305114746,1.2602382725242,209.4,67.1,67.956064947469,"PASS"
"Frog_chorus_Peru.wav","Acoustic_index_users_guide_example_recordings",152.695281982422,152.695281982422,7.44534056623331e-14,0.0548300743103027,0.0286791324615479,1.9118456384208,214.6,58.8,72.6001863932898,"PASS"
"Insect_and_bird_chorus_1_Gabon.wav","Acoustic_index_users_guide_example_recordings",151.069808959961,151.069793701172,1.01004887901775e-05,0.0728480815887451,0.0395200252532959,1.84332072466653,211.8,67.1,68.3191690273843,"PASS"
"Insect_and_bird_chorus_2_Gabon.wav","Acoustic_index_users_guide_example_recordings",154.003921508789,154.003921508789,3.69103710502359e-14,0.0434029102325439,0.0392940044403076,1.10456826304069,222.9,67.1,69.8968147151189,"PASS"
